channel_id,timeline_id,Item_Id,Date,title,Twitter_account,Tweet_Id,Twitter_link
458,1189981,13245,1/29/17 6:17,Retweet by anriette,anriette,8.23838E+17,https://twitter.com/anriette/status/823838186459852801
458,1066534,13244,12/28/16 9:09,Retweet by JD Bothma,jdbothma,8.13743E+17,https://twitter.com/jdbothma/status/813743041295118336
458,1019818,13244,12/19/16 17:09,Tweet by Reuben Cummings,reubano,8.09967E+17,https://twitter.com/reubano/status/809966584097869824
458,1008867,13480,12/17/16 11:11,Tweet by Reuben Cummings,reubano,8.09967E+17,https://twitter.com/reubano/status/809966584097869824
458,952032,13244,12/6/16 14:15,Tweet by Theresa Mallinson,tcmallinson,8.06185E+17,https://twitter.com/tcmallinson/status/806185393649577984
458,945690,13244,12/5/16 8:11,Retweet by Jumping Bean,jumpingbeansa,8.05718E+17,https://twitter.com/jumpingbeansa/status/805717625489735680
458,906756,13244,11/28/16 7:07,Retweet by Mary Metcalfe,metcalfemary11,8.0308E+17,https://twitter.com/metcalfemary11/status/803079729876176896
458,906755,13244,11/28/16 7:06,Retweet by Mr Putin,pietrampedi,8.03079E+17,https://twitter.com/pietrampedi/status/803079055142686720
458,906754,13244,11/28/16 7:06,Retweet by Daisy Matlou,daisy_matlou,8.03081E+17,https://twitter.com/daisy_matlou/status/803080702241673217
458,877489,13244,11/22/16 9:54,Retweet by Adi Eyal,SoapSudTycoon,8.01068E+17,https://twitter.com/SoapSudTycoon/status/801068042352521216
458,877488,13244,11/22/16 9:54,Retweet by Code4SA,code4sa,8.01068E+17,https://twitter.com/code4sa/status/801068042398691328
458,877487,13244,11/22/16 9:54,Retweet by Elroy Paulus,EE_Paulus,8.0107E+17,https://twitter.com/EE_Paulus/status/801069647843983364
458,857969,13244,11/18/16 16:01,Retweet by Elroy Paulus,EE_Paulus,7.99684E+17,https://twitter.com/EE_Paulus/status/799683865258393601
458,851705,13244,11/17/16 12:54,Tweet by Johan Lorenzen,JohanLorenzen,7.99157E+17,https://twitter.com/JohanLorenzen/status/799157472351109121
458,850647,13245,11/17/16 6:54,Tweet by Johan Lorenzen,JohanLorenzen,7.99157E+17,https://twitter.com/JohanLorenzen/status/799157472351109121
458,846574,13246,11/16/16 13:03,Tweet by Justin Arenstein,justinarenstein,7.98078E+17,https://twitter.com/justinarenstein/status/798077745431531523
458,846573,13246,11/16/16 13:03,Retweet by Varun Baker,varunbaker,7.98078E+17,https://twitter.com/varunbaker/status/798078161628123136
